Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 24Jan23 XETR 76,500 19.15947 EUR XETR
2023-01-24T08:02:33.10Z 194 19.32500 EUR XETR
2023-01-24T08:02:46.11Z 152 19.33000 EUR XETR
2023-01-24T08:02:53.45Z 140 19.32500 EUR XETR
2023-01-24T08:05:04.52Z 228 19.29000 EUR XETR
2023-01-24T08:05:27.41Z 20 19.26500 EUR XETR
2023-01-24T08:05:27.41Z 113 19.26500 EUR XETR
2023-01-24T08:08:44.69Z 200 19.21000 EUR XETR
2023-01-24T08:11:05.33Z 271 19.27500 EUR XETR
2023-01-24T08:11:05.35Z 225 19.27500 EUR XETR
2023-01-24T08:12:47.07Z 131 19.30500 EUR XETR
2023-01-24T08:14:34.33Z 153 19.30000 EUR XETR
2023-01-24T08:14:36.48Z 205 19.30000 EUR XETR
2023-01-24T08:15:30.06Z 138 19.30000 EUR XETR
2023-01-24T08:16:46.60Z 36 19.23500 EUR XETR
2023-01-24T08:16:46.60Z 96 19.23500 EUR XETR
2023-01-24T08:17:09.55Z 237 19.26000 EUR XETR
2023-01-24T08:17:15.14Z 148 19.27000 EUR XETR
2023-01-24T08:19:45.14Z 233 19.25000 EUR XETR
2023-01-24T08:20:01.48Z 38 19.26000 EUR XETR
2023-01-24T08:20:01.48Z 95 19.26000 EUR XETR
2023-01-24T08:21:45.70Z 228 19.27000 EUR XETR
2023-01-24T08:23:10.09Z 20 19.26500 EUR XETR
2023-01-24T08:23:10.09Z 110 19.26500 EUR XETR
2023-01-24T08:25:46.14Z 204 19.26000 EUR XETR
2023-01-24T08:27:09.65Z 231 19.24500 EUR XETR
2023-01-24T08:27:41.98Z 37 19.22500 EUR XETR
2023-01-24T08:27:41.98Z 98 19.22500 EUR XETR
2023-01-24T08:28:41.11Z 177 19.24000 EUR XETR
2023-01-24T08:31:06.54Z 22 19.26000 EUR XETR
2023-01-24T08:31:22.34Z 236 19.28000 EUR XETR
2023-01-24T08:32:46.49Z 167 19.33000 EUR XETR
2023-01-24T08:33:26.03Z 253 19.32500 EUR XETR
2023-01-24T08:34:00.16Z 160 19.30500 EUR XETR
2023-01-24T08:35:05.77Z 145 19.33000 EUR XETR
2023-01-24T08:36:20.20Z 144 19.33000 EUR XETR
2023-01-24T08:36:35.14Z 165 19.31000 EUR XETR
2023-01-24T08:37:49.11Z 136 19.31500 EUR XETR
2023-01-24T08:38:47.74Z 143 19.33500 EUR XETR
2023-01-24T08:40:12.34Z 179 19.35500 EUR XETR
2023-01-24T08:44:47.60Z 245 19.35000 EUR XETR
2023-01-24T08:46:25.00Z 131 19.34500 EUR XETR
2023-01-24T08:47:13.57Z 152 19.34500 EUR XETR
2023-01-24T08:49:05.28Z 163 19.35000 EUR XETR
2023-01-24T08:50:50.69Z 283 19.35500 EUR XETR
2023-01-24T08:52:23.08Z 130 19.37000 EUR XETR
2023-01-24T08:52:24.90Z 160 19.36000 EUR XETR
2023-01-24T08:53:04.66Z 167 19.36000 EUR XETR
2023-01-24T08:54:40.55Z 131 19.34500 EUR XETR
2023-01-24T08:56:05.18Z 68 19.36000 EUR XETR
2023-01-24T08:56:05.18Z 98 19.36000 EUR XETR
2023-01-24T08:57:18.03Z 239 19.37500 EUR XETR
2023-01-24T08:58:26.86Z 137 19.36500 EUR XETR
2023-01-24T09:00:23.28Z 164 19.36000 EUR XETR
2023-01-24T09:01:00.68Z 132 19.35000 EUR XETR
2023-01-24T09:03:13.97Z 131 19.33000 EUR XETR
2023-01-24T09:03:58.33Z 273 19.33500 EUR XETR
2023-01-24T09:05:59.37Z 240 19.36500 EUR XETR
2023-01-24T09:06:08.66Z 301 19.36500 EUR XETR
2023-01-24T09:06:34.78Z 164 19.35500 EUR XETR
2023-01-24T09:06:37.53Z 52 19.35500 EUR XETR
2023-01-24T09:06:37.53Z 151 19.35500 EUR XETR
2023-01-24T09:07:23.86Z 137 19.34500 EUR XETR
2023-01-24T09:08:57.64Z 133 19.32000 EUR XETR
2023-01-24T09:09:15.29Z 120 19.29000 EUR XETR
2023-01-24T09:09:24.38Z 153 19.28500 EUR XETR
2023-01-24T09:10:40.52Z 243 19.30500 EUR XETR
2023-01-24T09:11:54.33Z 68 19.31500 EUR XETR
2023-01-24T09:11:54.33Z 69 19.31500 EUR XETR
2023-01-24T09:13:04.27Z 58 19.30500 EUR XETR
2023-01-24T09:13:04.27Z 73 19.30500 EUR XETR
2023-01-24T09:14:21.06Z 133 19.29500 EUR XETR
2023-01-24T09:15:42.49Z 143 19.29500 EUR XETR
2023-01-24T09:15:56.31Z 136 19.29000 EUR XETR
2023-01-24T09:16:53.11Z 188 19.28000 EUR XETR
2023-01-24T09:18:21.49Z 56 19.29500 EUR XETR
2023-01-24T09:18:21.49Z 182 19.29500 EUR XETR
2023-01-24T09:20:00.94Z 296 19.32000 EUR XETR
2023-01-24T09:21:20.49Z 189 19.33500 EUR XETR
2023-01-24T09:21:32.19Z 179 19.32500 EUR XETR
2023-01-24T09:22:30.00Z 215 19.32000 EUR XETR
2023-01-24T09:23:21.37Z 136 19.30500 EUR XETR
2023-01-24T09:25:01.23Z 143 19.31000 EUR XETR
2023-01-24T09:26:04.62Z 229 19.30500 EUR XETR
2023-01-24T09:27:07.55Z 137 19.30500 EUR XETR
2023-01-24T09:27:44.20Z 131 19.26500 EUR XETR
2023-01-24T09:29:17.77Z 133 19.30000 EUR XETR
2023-01-24T09:31:00.36Z 147 19.30000 EUR XETR
2023-01-24T09:31:20.15Z 218 19.30000 EUR XETR
2023-01-24T09:32:59.91Z 242 19.31500 EUR XETR
2023-01-24T09:34:10.24Z 173 19.30500 EUR XETR
2023-01-24T09:35:46.12Z 73 19.29500 EUR XETR
2023-01-24T09:37:16.55Z 46 19.30000 EUR XETR
2023-01-24T09:37:32.42Z 140 19.30000 EUR XETR
2023-01-24T09:37:32.63Z 207 19.30000 EUR XETR
2023-01-24T09:38:33.89Z 29 19.31000 EUR XETR
2023-01-24T09:38:33.89Z 142 19.31000 EUR XETR
2023-01-24T09:40:49.57Z 132 19.29500 EUR XETR
2023-01-24T09:41:15.13Z 138 19.30000 EUR XETR
2023-01-24T09:42:18.46Z 131 19.30000 EUR XETR
2023-01-24T09:43:32.36Z 206 19.28500 EUR XETR
