Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 25Apr23 XETR 70,000 20.93090 EUR XETR
2023-04-25T07:05:13.42Z 219 21.01000 EUR XETR
2023-04-25T07:07:21.51Z 178 21.00000 EUR XETR
2023-04-25T07:07:49.19Z 154 20.98000 EUR XETR
2023-04-25T07:09:53.90Z 187 20.87000 EUR XETR
2023-04-25T07:12:12.10Z 77 20.90000 EUR XETR
2023-04-25T07:12:12.10Z 131 20.90000 EUR XETR
2023-04-25T07:12:14.14Z 31 20.89000 EUR XETR
2023-04-25T07:12:14.14Z 210 20.89000 EUR XETR
2023-04-25T07:15:31.93Z 206 20.91000 EUR XETR
2023-04-25T07:16:45.44Z 173 20.91000 EUR XETR
2023-04-25T07:16:53.12Z 199 20.90000 EUR XETR
2023-04-25T07:18:27.75Z 131 20.84000 EUR XETR
2023-04-25T07:20:52.02Z 133 20.84000 EUR XETR
2023-04-25T07:24:40.66Z 157 20.86000 EUR XETR
2023-04-25T07:25:31.59Z 167 20.84000 EUR XETR
2023-04-25T07:25:35.80Z 16 20.81000 EUR XETR
2023-04-25T07:25:38.94Z 50 20.81000 EUR XETR
2023-04-25T07:26:00.09Z 100 20.81000 EUR XETR
2023-04-25T07:26:00.17Z 58 20.81000 EUR XETR
2023-04-25T07:26:00.74Z 9 20.81000 EUR XETR
2023-04-25T07:28:53.29Z 220 20.81000 EUR XETR
2023-04-25T07:31:28.82Z 10 20.75000 EUR XETR
2023-04-25T07:32:12.11Z 134 20.77000 EUR XETR
2023-04-25T07:32:53.47Z 253 20.81000 EUR XETR
2023-04-25T07:37:31.45Z 141 20.84000 EUR XETR
2023-04-25T07:37:31.47Z 46 20.83000 EUR XETR
2023-04-25T07:37:31.47Z 108 20.83000 EUR XETR
2023-04-25T07:40:06.16Z 210 20.85000 EUR XETR
2023-04-25T07:44:24.18Z 137 20.84000 EUR XETR
2023-04-25T07:48:27.61Z 143 20.84000 EUR XETR
2023-04-25T07:48:30.91Z 165 20.83000 EUR XETR
2023-04-25T07:50:32.43Z 236 20.82000 EUR XETR
2023-04-25T07:56:41.63Z 222 20.79000 EUR XETR
2023-04-25T07:58:49.42Z 218 20.79000 EUR XETR
2023-04-25T08:00:35.23Z 232 20.80000 EUR XETR
2023-04-25T08:05:07.22Z 141 20.81000 EUR XETR
2023-04-25T08:06:11.27Z 141 20.82000 EUR XETR
2023-04-25T08:06:11.28Z 41 20.82000 EUR XETR
2023-04-25T08:08:55.26Z 38 20.80000 EUR XETR
2023-04-25T08:08:55.26Z 109 20.80000 EUR XETR
2023-04-25T08:12:25.26Z 30 20.79000 EUR XETR
2023-04-25T08:13:03.31Z 160 20.79000 EUR XETR
2023-04-25T08:14:35.23Z 139 20.79000 EUR XETR
2023-04-25T08:19:44.55Z 242 20.82000 EUR XETR
2023-04-25T08:21:02.20Z 151 20.82000 EUR XETR
2023-04-25T08:22:00.53Z 148 20.78000 EUR XETR
2023-04-25T08:23:32.96Z 133 20.78000 EUR XETR
2023-04-25T08:33:08.70Z 132 20.86000 EUR XETR
2023-04-25T08:35:11.86Z 265 20.86000 EUR XETR
2023-04-25T08:35:15.76Z 154 20.86000 EUR XETR
2023-04-25T08:36:51.20Z 195 20.86000 EUR XETR
2023-04-25T08:40:28.73Z 211 20.88000 EUR XETR
2023-04-25T08:42:15.77Z 139 20.88000 EUR XETR
2023-04-25T08:45:15.80Z 153 20.87000 EUR XETR
2023-04-25T08:48:57.26Z 3 20.85000 EUR XETR
2023-04-25T08:49:21.42Z 243 20.85000 EUR XETR
2023-04-25T08:51:48.72Z 185 20.86000 EUR XETR
2023-04-25T08:52:55.27Z 143 20.87000 EUR XETR
2023-04-25T08:55:44.17Z 41 20.90000 EUR XETR
2023-04-25T08:55:44.17Z 146 20.90000 EUR XETR
2023-04-25T09:01:03.75Z 146 20.89000 EUR XETR
2023-04-25T09:02:41.70Z 144 20.87000 EUR XETR
2023-04-25T09:02:53.12Z 338 20.86000 EUR XETR
2023-04-25T09:03:41.97Z 24 20.84000 EUR XETR
2023-04-25T09:03:41.97Z 402 20.84000 EUR XETR
2023-04-25T09:07:21.28Z 151 20.84000 EUR XETR
2023-04-25T09:08:27.43Z 137 20.81000 EUR XETR
