Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 23Jan23 XETR 77,000 19.00782 EUR XETR
2023-01-23T08:02:05.08Z 159 19.15000 EUR XETR
2023-01-23T08:03:06.29Z 225 19.14000 EUR XETR
2023-01-23T08:04:26.87Z 248 19.21500 EUR XETR
2023-01-23T08:05:05.59Z 234 19.19500 EUR XETR
2023-01-23T08:05:39.92Z 57 19.23500 EUR XETR
2023-01-23T08:05:39.92Z 160 19.23500 EUR XETR
2023-01-23T08:06:55.70Z 149 19.28000 EUR XETR
2023-01-23T08:07:01.26Z 137 19.25500 EUR XETR
2023-01-23T08:08:45.42Z 181 19.30000 EUR XETR
2023-01-23T08:11:00.87Z 166 19.30500 EUR XETR
2023-01-23T08:12:37.94Z 32 19.34000 EUR XETR
2023-01-23T08:12:55.60Z 164 19.34000 EUR XETR
2023-01-23T08:13:02.58Z 149 19.33000 EUR XETR
2023-01-23T08:13:13.10Z 130 19.31500 EUR XETR
2023-01-23T08:14:52.50Z 217 19.22500 EUR XETR
2023-01-23T08:16:41.22Z 188 19.13000 EUR XETR
2023-01-23T08:18:17.12Z 167 19.06000 EUR XETR
2023-01-23T08:19:42.34Z 168 19.02500 EUR XETR
2023-01-23T08:20:47.04Z 137 19.02000 EUR XETR
2023-01-23T08:21:15.20Z 43 18.99000 EUR XETR
2023-01-23T08:21:16.65Z 87 18.99000 EUR XETR
2023-01-23T08:22:16.43Z 143 18.95500 EUR XETR
2023-01-23T08:23:32.22Z 169 18.88500 EUR XETR
2023-01-23T08:23:47.62Z 129 18.88000 EUR XETR
2023-01-23T08:24:37.81Z 198 18.89500 EUR XETR
2023-01-23T08:24:37.82Z 216 18.89500 EUR XETR
2023-01-23T08:25:13.97Z 217 18.90500 EUR XETR
2023-01-23T08:27:04.46Z 151 18.86500 EUR XETR
2023-01-23T08:27:30.05Z 155 18.84000 EUR XETR
2023-01-23T08:28:42.40Z 146 18.82500 EUR XETR
2023-01-23T08:28:59.02Z 151 18.79500 EUR XETR
2023-01-23T08:30:00.87Z 191 18.75500 EUR XETR
2023-01-23T08:30:47.22Z 461 18.76500 EUR XETR
2023-01-23T08:31:50.95Z 132 18.75000 EUR XETR
2023-01-23T08:33:13.79Z 163 18.77500 EUR XETR
2023-01-23T08:33:22.58Z 136 18.76500 EUR XETR
2023-01-23T08:34:52.46Z 9 18.73000 EUR XETR
2023-01-23T08:34:52.46Z 144 18.73000 EUR XETR
2023-01-23T08:35:24.00Z 142 18.73500 EUR XETR
2023-01-23T08:35:31.14Z 141 18.72500 EUR XETR
2023-01-23T08:37:00.33Z 19 18.70000 EUR XETR
2023-01-23T08:37:00.33Z 182 18.70000 EUR XETR
2023-01-23T08:37:30.16Z 141 18.72000 EUR XETR
2023-01-23T08:41:56.92Z 3 18.73500 EUR XETR
2023-01-23T08:41:56.92Z 31 18.73500 EUR XETR
2023-01-23T08:41:56.92Z 225 18.73500 EUR XETR
2023-01-23T08:42:01.26Z 158 18.73000 EUR XETR
2023-01-23T08:44:13.90Z 25 18.77500 EUR XETR
2023-01-23T08:44:13.91Z 135 18.77500 EUR XETR
2023-01-23T08:45:01.97Z 166 18.80000 EUR XETR
2023-01-23T08:46:46.78Z 149 18.83500 EUR XETR
2023-01-23T08:48:21.75Z 139 18.83500 EUR XETR
2023-01-23T08:50:39.19Z 211 18.88000 EUR XETR
2023-01-23T08:50:39.21Z 296 18.87500 EUR XETR
2023-01-23T08:52:21.19Z 261 18.94000 EUR XETR
2023-01-23T08:52:32.73Z 160 18.94500 EUR XETR
2023-01-23T08:55:41.96Z 80 18.95000 EUR XETR
2023-01-23T08:55:41.96Z 120 18.95000 EUR XETR
2023-01-23T08:56:14.43Z 211 18.95000 EUR XETR
2023-01-23T08:56:31.89Z 216 18.98000 EUR XETR
2023-01-23T08:58:58.73Z 128 18.95000 EUR XETR
2023-01-23T09:01:25.23Z 13 18.91000 EUR XETR
2023-01-23T09:01:25.24Z 137 18.91000 EUR XETR
2023-01-23T09:02:51.75Z 194 18.90500 EUR XETR
2023-01-23T09:05:09.28Z 170 18.88000 EUR XETR
2023-01-23T09:06:08.53Z 140 18.92000 EUR XETR
2023-01-23T09:07:33.65Z 165 18.92000 EUR XETR
2023-01-23T09:10:26.04Z 97 18.91500 EUR XETR
2023-01-23T09:11:54.28Z 129 18.90000 EUR XETR
2023-01-23T09:15:36.41Z 173 18.93500 EUR XETR
2023-01-23T09:17:27.75Z 188 18.96000 EUR XETR
2023-01-23T09:18:17.26Z 204 18.99000 EUR XETR
2023-01-23T09:18:50.77Z 78 18.97500 EUR XETR
2023-01-23T09:18:50.78Z 187 18.97500 EUR XETR
2023-01-23T09:20:13.33Z 67 18.99000 EUR XETR
2023-01-23T09:20:13.33Z 85 18.99000 EUR XETR
2023-01-23T09:21:26.17Z 48 18.97500 EUR XETR
2023-01-23T09:21:26.17Z 192 18.97500 EUR XETR
2023-01-23T09:22:03.98Z 221 18.99000 EUR XETR
2023-01-23T09:23:52.11Z 135 18.95000 EUR XETR
2023-01-23T09:26:01.19Z 267 18.99000 EUR XETR
2023-01-23T09:27:52.40Z 29 18.93500 EUR XETR
2023-01-23T09:27:52.40Z 29 18.93500 EUR XETR
2023-01-23T09:27:52.40Z 130 18.93500 EUR XETR
2023-01-23T09:30:51.82Z 128 18.93000 EUR XETR
2023-01-23T09:33:13.61Z 134 18.94500 EUR XETR
2023-01-23T09:35:43.32Z 137 18.95500 EUR XETR
2023-01-23T09:37:56.20Z 174 18.99500 EUR XETR
2023-01-23T09:39:07.24Z 136 18.99500 EUR XETR
2023-01-23T09:43:09.46Z 144 19.00500 EUR XETR
2023-01-23T09:45:27.29Z 4 18.99000 EUR XETR
2023-01-23T09:45:27.29Z 134 18.99000 EUR XETR
2023-01-23T09:48:41.90Z 137 18.98000 EUR XETR
2023-01-23T09:49:41.24Z 4 18.97000 EUR XETR
2023-01-23T09:49:41.24Z 10 18.97000 EUR XETR
2023-01-23T09:49:41.24Z 41 18.97000 EUR XETR
2023-01-23T09:49:41.24Z 119 18.97000 EUR XETR
2023-01-23T09:50:06.02Z 157 18.97500 EUR XETR
2023-01-23T09:51:31.68Z 161 18.94500 EUR XETR
2023-01-23T09:52:37.04Z 131 18.94000 EUR XETR
