Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 18Apr23 XETR 68,662 21.43018 EUR XETR
2023-04-18T07:04:31.62Z 144 21.62000 EUR XETR
2023-04-18T07:05:44.79Z 31 21.63000 EUR XETR
2023-04-18T07:05:44.81Z 75 21.63000 EUR XETR
2023-04-18T07:08:39.97Z 107 21.59000 EUR XETR
2023-04-18T07:09:11.79Z 136 21.62000 EUR XETR
2023-04-18T07:11:30.90Z 75 21.68000 EUR XETR
2023-04-18T07:11:30.90Z 87 21.68000 EUR XETR
2023-04-18T07:11:31.11Z 113 21.67000 EUR XETR
2023-04-18T07:11:36.17Z 125 21.66000 EUR XETR
2023-04-18T07:12:03.61Z 218 21.63000 EUR XETR
2023-04-18T07:12:42.31Z 106 21.62000 EUR XETR
2023-04-18T07:14:36.05Z 132 21.66000 EUR XETR
2023-04-18T07:15:55.93Z 354 21.65000 EUR XETR
2023-04-18T07:17:30.58Z 104 21.62000 EUR XETR
2023-04-18T07:20:13.36Z 103 21.66000 EUR XETR
2023-04-18T07:21:12.41Z 175 21.65000 EUR XETR
2023-04-18T07:25:00.65Z 246 21.65000 EUR XETR
2023-04-18T07:25:25.30Z 147 21.66000 EUR XETR
2023-04-18T07:26:26.83Z 145 21.66000 EUR XETR
2023-04-18T07:27:36.73Z 144 21.66000 EUR XETR
2023-04-18T07:27:46.46Z 201 21.66000 EUR XETR
2023-04-18T07:31:33.86Z 136 21.65000 EUR XETR
2023-04-18T07:32:10.98Z 122 21.64000 EUR XETR
2023-04-18T07:32:13.59Z 120 21.63000 EUR XETR
2023-04-18T07:36:14.10Z 154 21.63000 EUR XETR
2023-04-18T07:37:40.02Z 182 21.59000 EUR XETR
2023-04-18T07:38:57.61Z 194 21.56000 EUR XETR
2023-04-18T07:39:10.39Z 244 21.50000 EUR XETR
2023-04-18T07:39:16.17Z 259 21.49000 EUR XETR
2023-04-18T07:39:16.18Z 162 21.49000 EUR XETR
2023-04-18T07:40:00.01Z 185 21.52000 EUR XETR
2023-04-18T07:40:00.01Z 221 21.49000 EUR XETR
2023-04-18T07:40:16.70Z 23 21.46000 EUR XETR
2023-04-18T07:40:16.70Z 431 21.46000 EUR XETR
2023-04-18T07:40:35.10Z 189 21.45000 EUR XETR
2023-04-18T07:41:04.20Z 244 21.41000 EUR XETR
2023-04-18T07:42:05.42Z 143 21.39000 EUR XETR
2023-04-18T07:45:47.89Z 230 21.39000 EUR XETR
2023-04-18T07:46:18.74Z 117 21.36000 EUR XETR
2023-04-18T07:46:25.91Z 120 21.35000 EUR XETR
2023-04-18T07:48:17.20Z 209 21.33000 EUR XETR
2023-04-18T07:51:05.81Z 50 21.35000 EUR XETR
2023-04-18T07:52:02.85Z 113 21.40000 EUR XETR
2023-04-18T07:52:10.04Z 172 21.39000 EUR XETR
2023-04-18T07:54:21.02Z 112 21.38000 EUR XETR
2023-04-18T07:54:54.61Z 144 21.40000 EUR XETR
2023-04-18T07:58:35.82Z 119 21.41000 EUR XETR
2023-04-18T07:59:00.40Z 140 21.40000 EUR XETR
2023-04-18T08:00:47.20Z 232 21.41000 EUR XETR
2023-04-18T08:04:07.75Z 176 21.45000 EUR XETR
2023-04-18T08:04:39.28Z 108 21.44000 EUR XETR
2023-04-18T08:06:31.03Z 200 21.42000 EUR XETR
2023-04-18T08:07:40.99Z 112 21.42000 EUR XETR
2023-04-18T08:09:38.30Z 123 21.41000 EUR XETR
2023-04-18T08:09:38.31Z 54 21.41000 EUR XETR
2023-04-18T08:14:56.20Z 164 21.42000 EUR XETR
2023-04-18T08:14:59.41Z 153 21.42000 EUR XETR
2023-04-18T08:16:23.30Z 175 21.40000 EUR XETR
2023-04-18T08:20:48.80Z 244 21.38000 EUR XETR
2023-04-18T08:21:30.65Z 47 21.35000 EUR XETR
2023-04-18T08:21:30.65Z 95 21.35000 EUR XETR
2023-04-18T08:22:33.84Z 177 21.35000 EUR XETR
2023-04-18T08:22:44.69Z 119 21.35000 EUR XETR
2023-04-18T08:24:27.48Z 122 21.36000 EUR XETR
2023-04-18T08:32:27.30Z 164 21.38000 EUR XETR
2023-04-18T08:35:54.44Z 279 21.40000 EUR XETR
2023-04-18T08:37:17.20Z 9 21.40000 EUR XETR
