Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 25Jan23 XETR 76,500 18.87362 EUR XETR
2023-01-25T08:04:53.84Z 210 19.04500 EUR XETR
2023-01-25T08:05:39.54Z 263 19.03500 EUR XETR
2023-01-25T08:06:28.39Z 130 19.03500 EUR XETR
2023-01-25T08:07:30.03Z 129 19.03500 EUR XETR
2023-01-25T08:07:30.51Z 172 19.02000 EUR XETR
2023-01-25T08:08:46.79Z 27 19.02000 EUR XETR
2023-01-25T08:08:46.79Z 232 19.02000 EUR XETR
2023-01-25T08:10:10.45Z 268 19.02000 EUR XETR
2023-01-25T08:12:01.04Z 172 19.03500 EUR XETR
2023-01-25T08:12:33.49Z 291 19.02000 EUR XETR
2023-01-25T08:13:25.00Z 282 19.01000 EUR XETR
2023-01-25T08:13:25.01Z 134 19.00500 EUR XETR
2023-01-25T08:13:41.66Z 163 18.99000 EUR XETR
2023-01-25T08:14:37.61Z 267 19.00500 EUR XETR
2023-01-25T08:15:21.24Z 129 19.02000 EUR XETR
2023-01-25T08:16:14.87Z 179 19.04000 EUR XETR
2023-01-25T08:17:11.14Z 143 19.04500 EUR XETR
2023-01-25T08:17:53.56Z 52 19.06000 EUR XETR
2023-01-25T08:17:53.56Z 158 19.06000 EUR XETR
2023-01-25T08:19:01.84Z 131 19.05500 EUR XETR
2023-01-25T08:20:14.53Z 217 19.04500 EUR XETR
2023-01-25T08:20:16.30Z 200 19.04500 EUR XETR
2023-01-25T08:21:00.22Z 64 19.02000 EUR XETR
2023-01-25T08:21:00.22Z 67 19.02000 EUR XETR
2023-01-25T08:21:17.48Z 134 19.01500 EUR XETR
2023-01-25T08:23:47.68Z 141 19.01000 EUR XETR
2023-01-25T08:23:47.70Z 188 19.01000 EUR XETR
2023-01-25T08:24:29.48Z 273 19.03000 EUR XETR
2023-01-25T08:25:55.50Z 278 19.02500 EUR XETR
2023-01-25T08:26:42.44Z 166 19.00500 EUR XETR
2023-01-25T08:26:53.39Z 103 18.99500 EUR XETR
2023-01-25T08:26:53.40Z 28 18.99500 EUR XETR
2023-01-25T08:27:52.14Z 130 18.99500 EUR XETR
2023-01-25T08:29:05.09Z 130 18.97500 EUR XETR
2023-01-25T08:29:14.36Z 132 18.97000 EUR XETR
2023-01-25T08:30:32.11Z 132 18.95000 EUR XETR
2023-01-25T08:31:25.12Z 131 18.94500 EUR XETR
2023-01-25T08:31:25.12Z 138 18.94000 EUR XETR
2023-01-25T08:31:56.62Z 132 18.93000 EUR XETR
2023-01-25T08:32:47.05Z 158 18.90500 EUR XETR
2023-01-25T08:33:31.86Z 157 18.90000 EUR XETR
2023-01-25T08:34:18.74Z 133 18.93000 EUR XETR
2023-01-25T08:35:28.87Z 269 18.88500 EUR XETR
2023-01-25T08:36:21.35Z 194 18.91000 EUR XETR
2023-01-25T08:37:34.20Z 270 18.89000 EUR XETR
2023-01-25T08:38:23.18Z 130 18.88000 EUR XETR
2023-01-25T08:38:40.43Z 129 18.86000 EUR XETR
2023-01-25T08:39:57.39Z 261 18.86000 EUR XETR
2023-01-25T08:41:33.66Z 262 18.85000 EUR XETR
2023-01-25T08:45:24.48Z 130 18.91500 EUR XETR
2023-01-25T08:45:24.48Z 224 18.90500 EUR XETR
2023-01-25T08:47:50.32Z 235 18.91000 EUR XETR
2023-01-25T08:50:02.98Z 296 18.92500 EUR XETR
2023-01-25T08:51:28.55Z 241 18.92500 EUR XETR
2023-01-25T08:52:12.78Z 160 18.91000 EUR XETR
2023-01-25T08:52:41.89Z 220 18.90000 EUR XETR
2023-01-25T08:53:44.77Z 177 18.92000 EUR XETR
2023-01-25T08:55:22.06Z 293 18.92000 EUR XETR
2023-01-25T08:56:34.19Z 201 18.94000 EUR XETR
2023-01-25T08:58:07.20Z 174 18.94000 EUR XETR
2023-01-25T08:58:39.20Z 230 18.92500 EUR XETR
2023-01-25T09:02:28.10Z 304 19.08000 EUR XETR
2023-01-25T09:02:47.54Z 156 19.08000 EUR XETR
2023-01-25T09:03:41.19Z 302 19.05500 EUR XETR
2023-01-25T09:04:42.02Z 139 19.05000 EUR XETR
2023-01-25T09:04:55.52Z 283 19.04500 EUR XETR
2023-01-25T09:06:15.68Z 262 19.07000 EUR XETR
2023-01-25T09:07:24.32Z 264 19.06000 EUR XETR
2023-01-25T09:08:52.22Z 183 19.03500 EUR XETR
2023-01-25T09:10:53.46Z 266 19.03500 EUR XETR
2023-01-25T09:11:54.88Z 129 19.00000 EUR XETR
2023-01-25T09:13:04.56Z 131 18.98000 EUR XETR
2023-01-25T09:14:29.93Z 153 18.93500 EUR XETR
2023-01-25T09:15:29.55Z 130 18.91000 EUR XETR
2023-01-25T09:15:29.55Z 138 18.91500 EUR XETR
2023-01-25T09:18:31.50Z 90 18.95500 EUR XETR
2023-01-25T09:18:31.50Z 95 18.95500 EUR XETR
2023-01-25T09:21:52.90Z 403 18.94000 EUR XETR
2023-01-25T09:21:55.33Z 212 18.93500 EUR XETR
2023-01-25T09:22:04.75Z 76 18.93000 EUR XETR
2023-01-25T09:22:04.90Z 239 18.93000 EUR XETR
2023-01-25T09:22:08.17Z 185 18.92500 EUR XETR
2023-01-25T09:22:10.05Z 265 18.92500 EUR XETR
2023-01-25T09:23:30.70Z 179 18.92500 EUR XETR
2023-01-25T09:24:12.96Z 129 18.91500 EUR XETR
2023-01-25T09:25:23.33Z 190 18.92000 EUR XETR
2023-01-25T09:26:57.04Z 157 18.93000 EUR XETR
2023-01-25T09:29:38.19Z 26 18.93000 EUR XETR
2023-01-25T09:30:03.73Z 215 18.93000 EUR XETR
2023-01-25T09:31:46.65Z 145 18.95000 EUR XETR
2023-01-25T09:31:46.66Z 266 18.95000 EUR XETR
2023-01-25T09:32:54.95Z 161 18.98500 EUR XETR
2023-01-25T09:34:42.67Z 133 18.97500 EUR XETR
2023-01-25T09:35:33.61Z 131 18.96500 EUR XETR
2023-01-25T09:36:58.62Z 159 18.95500 EUR XETR
2023-01-25T09:37:39.00Z 34 18.95000 EUR XETR
2023-01-25T09:37:39.00Z 96 18.95000 EUR XETR
2023-01-25T09:38:28.36Z 129 18.97500 EUR XETR
2023-01-25T09:39:57.13Z 129 18.96500 EUR XETR
2023-01-25T09:41:31.23Z 139 18.95500 EUR XETR
