Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 29Mar23 XETR 75,000 19.74538 EUR XETR
2023-03-29T07:02:13.86Z 140 19.61000 EUR XETR
2023-03-29T07:03:21.67Z 182 19.60500 EUR XETR
2023-03-29T07:04:03.41Z 133 19.59500 EUR XETR
2023-03-29T07:05:41.81Z 163 19.61000 EUR XETR
2023-03-29T07:05:42.07Z 139 19.60500 EUR XETR
2023-03-29T07:05:48.99Z 140 19.59000 EUR XETR
2023-03-29T07:07:09.56Z 125 19.58500 EUR XETR
2023-03-29T07:08:01.80Z 43 19.56500 EUR XETR
2023-03-29T07:10:33.07Z 201 19.53000 EUR XETR
2023-03-29T07:11:17.59Z 118 19.51500 EUR XETR
2023-03-29T07:12:30.28Z 122 19.46000 EUR XETR
2023-03-29T07:14:29.38Z 129 19.50500 EUR XETR
2023-03-29T07:15:43.96Z 214 19.49500 EUR XETR
2023-03-29T07:16:41.43Z 154 19.45500 EUR XETR
2023-03-29T07:19:50.54Z 222 19.46000 EUR XETR
2023-03-29T07:20:44.42Z 122 19.47000 EUR XETR
2023-03-29T07:21:01.39Z 194 19.51000 EUR XETR
2023-03-29T07:21:20.14Z 133 19.50000 EUR XETR
2023-03-29T07:24:11.63Z 285 19.53500 EUR XETR
2023-03-29T07:24:35.06Z 49 19.52500 EUR XETR
2023-03-29T07:24:35.07Z 68 19.52500 EUR XETR
2023-03-29T07:24:56.31Z 198 19.51500 EUR XETR
2023-03-29T07:29:45.42Z 117 19.55000 EUR XETR
2023-03-29T07:29:46.18Z 174 19.54500 EUR XETR
2023-03-29T07:30:16.15Z 124 19.55000 EUR XETR
2023-03-29T07:32:42.85Z 152 19.52000 EUR XETR
2023-03-29T07:35:13.39Z 125 19.49000 EUR XETR
2023-03-29T07:36:48.09Z 39 19.45500 EUR XETR
2023-03-29T07:36:53.46Z 127 19.45500 EUR XETR
2023-03-29T07:38:07.77Z 153 19.47000 EUR XETR
2023-03-29T07:38:28.98Z 145 19.47000 EUR XETR
2023-03-29T07:41:05.53Z 150 19.49500 EUR XETR
2023-03-29T07:42:59.12Z 226 19.53000 EUR XETR
2023-03-29T07:47:44.36Z 152 19.52000 EUR XETR
2023-03-29T07:49:17.69Z 174 19.54000 EUR XETR
2023-03-29T07:50:52.23Z 188 19.54500 EUR XETR
2023-03-29T07:52:20.89Z 43 19.53500 EUR XETR
2023-03-29T07:52:20.89Z 75 19.53500 EUR XETR
2023-03-29T07:52:21.03Z 10 19.53500 EUR XETR
2023-03-29T07:52:21.03Z 33 19.53500 EUR XETR
2023-03-29T07:54:49.93Z 50 19.52500 EUR XETR
2023-03-29T07:54:49.93Z 136 19.52500 EUR XETR
2023-03-29T07:57:26.20Z 127 19.50500 EUR XETR
2023-03-29T07:58:55.24Z 25 19.49500 EUR XETR
2023-03-29T07:58:55.24Z 109 19.49500 EUR XETR
2023-03-29T08:01:35.53Z 165 19.44000 EUR XETR
2023-03-29T08:02:43.50Z 167 19.45500 EUR XETR
2023-03-29T08:04:54.76Z 132 19.52000 EUR XETR
2023-03-29T08:05:18.37Z 141 19.52000 EUR XETR
2023-03-29T08:07:05.13Z 183 19.53500 EUR XETR
2023-03-29T08:08:47.86Z 239 19.54500 EUR XETR
2023-03-29T08:11:57.71Z 225 19.54000 EUR XETR
2023-03-29T08:12:10.52Z 139 19.54500 EUR XETR
2023-03-29T08:12:13.75Z 291 19.53500 EUR XETR
2023-03-29T08:17:19.87Z 31 19.58000 EUR XETR
2023-03-29T08:18:04.39Z 157 19.58000 EUR XETR
2023-03-29T08:18:15.26Z 119 19.58000 EUR XETR
2023-03-29T08:19:05.01Z 204 19.57500 EUR XETR
2023-03-29T08:21:05.90Z 133 19.55500 EUR XETR
2023-03-29T08:23:05.07Z 148 19.55500 EUR XETR
2023-03-29T08:23:48.36Z 220 19.49500 EUR XETR
2023-03-29T08:24:20.54Z 7 19.50000 EUR XETR
2023-03-29T08:27:57.95Z 260 19.55500 EUR XETR
2023-03-29T08:31:10.81Z 206 19.56500 EUR XETR
2023-03-29T08:31:38.57Z 150 19.57000 EUR XETR
2023-03-29T08:31:38.58Z 218 19.57000 EUR XETR
2023-03-29T08:32:17.95Z 146 19.57500 EUR XETR
